Wrote: ave.slim
Wrote: fit.slim
Wrote: ext.slim
Wrote: inv.slim
Submitting job, psi=0.0, n=8, sz=20, rep=3, reg=ext.
Submitting job, psi=0.5, n=8, sz=20, rep=3, reg=ave.
Submitting job, psi=0.5, n=8, sz=20, rep=3, reg=fit.
Submitting job, psi=0.5, n=8, sz=20, rep=3, reg=inv.
Submitting job, psi=0.5, n=8, sz=20, rep=3, reg=ext.
Submitting job, psi=0.9, n=8, sz=20, rep=3, reg=ave.
Submitting job, psi=0.9, n=8, sz=20, rep=3, reg=fit.
Submitting job, psi=0.9, n=8, sz=20, rep=3, reg=inv.
Submitting job, psi=0.9, n=8, sz=20, rep=3, reg=ext.
Submitting job, psi=1.0, n=8, sz=20, rep=3, reg=ave.
Submitting job, psi=1.0, n=8, sz=20, rep=3, reg=fit.
Submitting job, psi=1.0, n=8, sz=20, rep=3, reg=inv.
Submitting job, psi=1.0, n=8, sz=20, rep=3, reg=ext.
Submitting job, psi=0.0, n=20, sz=20, rep=3, reg=ave.
Submitting job, psi=0.0, n=20, sz=20, rep=3, reg=fit.
Submitting job, psi=0.0, n=20, sz=20, rep=3, reg=inv.
Submitting job, psi=0.0, n=20, sz=20, rep=3, reg=ext.
Submitting job, psi=0.5, n=20, sz=20, rep=3, reg=ave.
Submitting job, psi=0.5, n=20, sz=20, rep=3, reg=fit.
Submitting job, psi=0.5, n=20, sz=20, rep=3, reg=inv.
Submitting job, psi=0.5, n=20, sz=20, rep=3, reg=ext.
Submitting job, psi=0.9, n=20, sz=20, rep=3, reg=ave.
Submitting job, psi=0.9, n=20, sz=20, rep=3, reg=fit.
Submitting job, psi=0.9, n=20, sz=20, rep=3, reg=inv.
Submitting job, psi=0.9, n=20, sz=20, rep=3, reg=ext.
Submitting job, psi=1.0, n=20, sz=20, rep=3, reg=ave.
Submitting job, psi=1.0, n=20, sz=20, rep=3, reg=fit.
Submitting job, psi=1.0, n=20, sz=20, rep=3, reg=inv.
Submitting job, psi=1.0, n=20, sz=20, rep=3, reg=ext.
Submitting job, psi=0.0, n=50, sz=20, rep=3, reg=ave.
Submitting job, psi=0.0, n=50, sz=20, rep=3, reg=fit.
Submitting job, psi=0.0, n=50, sz=20, rep=3, reg=inv.
Submitting job, psi=0.0, n=50, sz=20, rep=3, reg=ext.
Submitting job, psi=0.5, n=50, sz=20, rep=3, reg=ave.
Submitting job, psi=0.5, n=50, sz=20, rep=3, reg=fit.
Submitting job, psi=0.5, n=50, sz=20, rep=3, reg=inv.
Submitting job, psi=0.5, n=50, sz=20, rep=3, reg=ext.
Submitting job, psi=0.9, n=50, sz=20, rep=3, reg=ave.
Submitting job, psi=0.9, n=50, sz=20, rep=3, reg=fit.
Submitting job, psi=0.9, n=50, sz=20, rep=3, reg=inv.
Submitting job, psi=0.9, n=50, sz=20, rep=3, reg=ext.
Submitting job, psi=1.0, n=50, sz=20, rep=3, reg=ave.
Submitting job, psi=1.0, n=50, sz=20, rep=3, reg=fit.
Submitting job, psi=1.0, n=50, sz=20, rep=3, reg=inv.
Submitting job, psi=1.0, n=50, sz=20, rep=3, reg=ext.
Submitting job, psi=0.0, n=2, sz=40, rep=3, reg=ave.
Submitting job, psi=0.0, n=2, sz=40, rep=3, reg=fit.
Submitting job, psi=0.0, n=2, sz=40, rep=3, reg=inv.
Submitting job, psi=0.0, n=2, sz=40, rep=3, reg=ext.
Submitting job, psi=0.5, n=2, sz=40, rep=3, reg=ave.
Submitting job, psi=0.5, n=2, sz=40, rep=3, reg=fit.
Submitting job, psi=0.5, n=2, sz=40, rep=3, reg=inv.
Submitting job, psi=0.5, n=2, sz=40, rep=3, reg=ext.
Submitting job, psi=0.9, n=2, sz=40, rep=3, reg=ave.
Submitting job, psi=0.9, n=2, sz=40, rep=3, reg=fit.
Submitting job, psi=0.9, n=2, sz=40, rep=3, reg=inv.
Submitting job, psi=0.9, n=2, sz=40, rep=3, reg=ext.
Submitting job, psi=1.0, n=2, sz=40, rep=3, reg=ave.
Submitting job, psi=1.0, n=2, sz=40, rep=3, reg=fit.
Submitting job, psi=1.0, n=2, sz=40, rep=3, reg=inv.
Submitting job, psi=1.0, n=2, sz=40, rep=3, reg=ext.
Submitting job, psi=0.0, n=8, sz=40, rep=3, reg=ave.
Submitting job, psi=0.0, n=8, sz=40, rep=3, reg=fit.
Submitting job, psi=0.0, n=8, sz=40, rep=3, reg=inv.
Submitting job, psi=0.0, n=8, sz=40, rep=3, reg=ext.
Submitting job, psi=0.5, n=8, sz=40, rep=3, reg=ave.
Submitting job, psi=0.5, n=8, sz=40, rep=3, reg=fit.
Submitting job, psi=0.5, n=8, sz=40, rep=3, reg=inv.
Submitting job, psi=0.5, n=8, sz=40, rep=3, reg=ext.
Submitting job, psi=0.9, n=8, sz=40, rep=3, reg=ave.
Submitting job, psi=0.9, n=8, sz=40, rep=3, reg=fit.
Submitting job, psi=0.9, n=8, sz=40, rep=3, reg=inv.
Submitting job, psi=0.9, n=8, sz=40, rep=3, reg=ext.
Submitting job, psi=1.0, n=8, sz=40, rep=3, reg=ave.
Submitting job, psi=1.0, n=8, sz=40, rep=3, reg=fit.
Submitting job, psi=1.0, n=8, sz=40, rep=3, reg=inv.
Submitting job, psi=1.0, n=8, sz=40, rep=3, reg=ext.
Submitting job, psi=0.0, n=20, sz=40, rep=3, reg=ave.
Submitting job, psi=0.0, n=20, sz=40, rep=3, reg=fit.
Submitting job, psi=0.0, n=20, sz=40, rep=3, reg=inv.
Submitting job, psi=0.0, n=20, sz=40, rep=3, reg=ext.
Submitting job, psi=0.5, n=20, sz=40, rep=3, reg=ave.
Submitting job, psi=0.5, n=20, sz=40, rep=3, reg=fit.
Submitting job, psi=0.5, n=20, sz=40, rep=3, reg=inv.
Submitting job, psi=0.5, n=20, sz=40, rep=3, reg=ext.
Submitting job, psi=0.9, n=20, sz=40, rep=3, reg=ave.
Submitting job, psi=0.9, n=20, sz=40, rep=3, reg=fit.
Submitting job, psi=0.9, n=20, sz=40, rep=3, reg=inv.
Submitting job, psi=0.9, n=20, sz=40, rep=3, reg=ext.
Submitting job, psi=1.0, n=20, sz=40, rep=3, reg=ave.
Submitting job, psi=1.0, n=20, sz=40, rep=3, reg=fit.
Submitting job, psi=1.0, n=20, sz=40, rep=3, reg=inv.
Submitting job, psi=1.0, n=20, sz=40, rep=3, reg=ext.
Submitting job, psi=0.0, n=50, sz=40, rep=3, reg=ave.
Submitting job, psi=0.0, n=50, sz=40, rep=3, reg=fit.
Submitting job, psi=0.0, n=50, sz=40, rep=3, reg=inv.
Submitting job, psi=0.0, n=50, sz=40, rep=3, reg=ext.
Submitting job, psi=0.5, n=50, sz=40, rep=3, reg=ave.
Submitting job, psi=0.5, n=50, sz=40, rep=3, reg=fit.
Submitting job, psi=0.5, n=50, sz=40, rep=3, reg=inv.
Submitting job, psi=0.5, n=50, sz=40, rep=3, reg=ext.
Submitting job, psi=0.9, n=50, sz=40, rep=3, reg=ave.
Submitting job, psi=0.9, n=50, sz=40, rep=3, reg=fit.
Submitting job, psi=0.9, n=50, sz=40, rep=3, reg=inv.
Submitting job, psi=0.9, n=50, sz=40, rep=3, reg=ext.
Submitting job, psi=1.0, n=50, sz=40, rep=3, reg=ave.
Submitting job, psi=1.0, n=50, sz=40, rep=3, reg=fit.
Submitting job, psi=1.0, n=50, sz=40, rep=3, reg=inv.
Submitting job, psi=1.0, n=50, sz=40, rep=3, reg=ext.
Submitting job, psi=0.0, n=2, sz=60, rep=3, reg=ave.
Submitting job, psi=0.0, n=2, sz=60, rep=3, reg=fit.
Submitting job, psi=0.0, n=2, sz=60, rep=3, reg=inv.
Submitting job, psi=0.0, n=2, sz=60, rep=3, reg=ext.
Submitting job, psi=0.5, n=2, sz=60, rep=3, reg=ave.
Submitting job, psi=0.5, n=2, sz=60, rep=3, reg=fit.
Submitting job, psi=0.5, n=2, sz=60, rep=3, reg=inv.
Submitting job, psi=0.5, n=2, sz=60, rep=3, reg=ext.
Submitting job, psi=0.9, n=2, sz=60, rep=3, reg=ave.
Submitting job, psi=0.9, n=2, sz=60, rep=3, reg=fit.
Submitting job, psi=0.9, n=2, sz=60, rep=3, reg=inv.
Submitting job, psi=0.9, n=2, sz=60, rep=3, reg=ext.
Submitting job, psi=1.0, n=2, sz=60, rep=3, reg=ave.
Submitting job, psi=1.0, n=2, sz=60, rep=3, reg=fit.
Submitting job, psi=1.0, n=2, sz=60, rep=3, reg=inv.
Submitting job, psi=1.0, n=2, sz=60, rep=3, reg=ext.
Submitting job, psi=0.0, n=8, sz=60, rep=3, reg=ave.
Submitting job, psi=0.0, n=8, sz=60, rep=3, reg=fit.
Submitting job, psi=0.0, n=8, sz=60, rep=3, reg=inv.
Submitting job, psi=0.0, n=8, sz=60, rep=3, reg=ext.
Submitting job, psi=0.5, n=8, sz=60, rep=3, reg=ave.
Submitting job, psi=0.5, n=8, sz=60, rep=3, reg=fit.
Submitting job, psi=0.5, n=8, sz=60, rep=3, reg=inv.
Submitting job, psi=0.5, n=8, sz=60, rep=3, reg=ext.
Submitting job, psi=0.9, n=8, sz=60, rep=3, reg=ave.
Submitting job, psi=0.9, n=8, sz=60, rep=3, reg=fit.
Submitting job, psi=0.9, n=8, sz=60, rep=3, reg=inv.
Submitting job, psi=0.9, n=8, sz=60, rep=3, reg=ext.
Submitting job, psi=1.0, n=8, sz=60, rep=3, reg=ave.
Submitting job, psi=1.0, n=8, sz=60, rep=3, reg=fit.
Submitting job, psi=1.0, n=8, sz=60, rep=3, reg=inv.
Submitting job, psi=1.0, n=8, sz=60, rep=3, reg=ext.
Submitting job, psi=0.0, n=20, sz=60, rep=3, reg=ave.
Submitting job, psi=0.0, n=20, sz=60, rep=3, reg=fit.
Submitting job, psi=0.0, n=20, sz=60, rep=3, reg=inv.
Submitting job, psi=0.0, n=20, sz=60, rep=3, reg=ext.
Submitting job, psi=0.5, n=20, sz=60, rep=3, reg=ave.
Submitting job, psi=0.5, n=20, sz=60, rep=3, reg=fit.
Submitting job, psi=0.5, n=20, sz=60, rep=3, reg=inv.
Submitting job, psi=0.5, n=20, sz=60, rep=3, reg=ext.
Submitting job, psi=0.9, n=20, sz=60, rep=3, reg=ave.
Submitting job, psi=0.9, n=20, sz=60, rep=3, reg=fit.
Submitting job, psi=0.9, n=20, sz=60, rep=3, reg=inv.
Submitting job, psi=0.9, n=20, sz=60, rep=3, reg=ext.
Submitting job, psi=1.0, n=20, sz=60, rep=3, reg=ave.
Submitting job, psi=1.0, n=20, sz=60, rep=3, reg=fit.
Submitting job, psi=1.0, n=20, sz=60, rep=3, reg=inv.
Submitting job, psi=1.0, n=20, sz=60, rep=3, reg=ext.
Submitting job, psi=0.0, n=50, sz=60, rep=3, reg=ave.
Submitting job, psi=0.0, n=50, sz=60, rep=3, reg=fit.
Submitting job, psi=0.0, n=50, sz=60, rep=3, reg=inv.
Submitting job, psi=0.0, n=50, sz=60, rep=3, reg=ext.
Submitting job, psi=0.5, n=50, sz=60, rep=3, reg=ave.
Submitting job, psi=0.5, n=50, sz=60, rep=3, reg=fit.
Submitting job, psi=0.5, n=50, sz=60, rep=3, reg=inv.
Submitting job, psi=0.5, n=50, sz=60, rep=3, reg=ext.
Submitting job, psi=0.9, n=50, sz=60, rep=3, reg=ave.
Submitting job, psi=0.9, n=50, sz=60, rep=3, reg=fit.
Submitting job, psi=0.9, n=50, sz=60, rep=3, reg=inv.
Submitting job, psi=0.9, n=50, sz=60, rep=3, reg=ext.
Submitting job, psi=1.0, n=50, sz=60, rep=3, reg=ave.
Submitting job, psi=1.0, n=50, sz=60, rep=3, reg=fit.
Submitting job, psi=1.0, n=50, sz=60, rep=3, reg=inv.
Submitting job, psi=1.0, n=50, sz=60, rep=3, reg=ext.
Submitting job, psi=0.0, n=2, sz=20, rep=4, reg=ave.
Submitting job, psi=0.0, n=2, sz=20, rep=4, reg=fit.
Submitting job, psi=0.0, n=2, sz=20, rep=4, reg=inv.
Submitting job, psi=0.0, n=2, sz=20, rep=4, reg=ext.
Submitting job, psi=0.5, n=2, sz=20, rep=4, reg=ave.
Submitting job, psi=0.5, n=2, sz=20, rep=4, reg=fit.
Submitting job, psi=0.5, n=2, sz=20, rep=4, reg=inv.
Submitting job, psi=0.5, n=2, sz=20, rep=4, reg=ext.
Submitting job, psi=0.9, n=2, sz=20, rep=4, reg=ave.
Submitting job, psi=0.9, n=2, sz=20, rep=4, reg=fit.
Submitting job, psi=0.9, n=2, sz=20, rep=4, reg=inv.
Submitting job, psi=0.9, n=2, sz=20, rep=4, reg=ext.
Submitting job, psi=1.0, n=2, sz=20, rep=4, reg=ave.
Submitting job, psi=1.0, n=2, sz=20, rep=4, reg=fit.
Submitting job, psi=1.0, n=2, sz=20, rep=4, reg=inv.
Submitting job, psi=1.0, n=2, sz=20, rep=4, reg=ext.
Submitting job, psi=0.0, n=8, sz=20, rep=4, reg=ave.
Submitting job, psi=0.0, n=8, sz=20, rep=4, reg=fit.
Submitting job, psi=0.0, n=8, sz=20, rep=4, reg=inv.
Submitting job, psi=0.0, n=8, sz=20, rep=4, reg=ext.
Submitting job, psi=0.5, n=8, sz=20, rep=4, reg=ave.
Submitting job, psi=0.5, n=8, sz=20, rep=4, reg=fit.
Submitting job, psi=0.5, n=8, sz=20, rep=4, reg=inv.
Submitting job, psi=0.5, n=8, sz=20, rep=4, reg=ext.
Submitting job, psi=0.9, n=8, sz=20, rep=4, reg=ave.
Submitting job, psi=0.9, n=8, sz=20, rep=4, reg=fit.
Submitting job, psi=0.9, n=8, sz=20, rep=4, reg=inv.
Submitting job, psi=0.9, n=8, sz=20, rep=4, reg=ext.
Submitting job, psi=1.0, n=8, sz=20, rep=4, reg=ave.
Submitting job, psi=1.0, n=8, sz=20, rep=4, reg=fit.
Submitting job, psi=1.0, n=8, sz=20, rep=4, reg=inv.
Submitting job, psi=1.0, n=8, sz=20, rep=4, reg=ext.
Submitting job, psi=0.0, n=20, sz=20, rep=4, reg=ave.
Submitting job, psi=0.0, n=20, sz=20, rep=4, reg=fit.
Submitting job, psi=0.0, n=20, sz=20, rep=4, reg=inv.
Submitting job, psi=0.0, n=20, sz=20, rep=4, reg=ext.
Submitting job, psi=0.5, n=20, sz=20, rep=4, reg=ave.
Submitting job, psi=0.5, n=20, sz=20, rep=4, reg=fit.
Submitting job, psi=0.5, n=20, sz=20, rep=4, reg=inv.
Submitting job, psi=0.5, n=20, sz=20, rep=4, reg=ext.
Submitting job, psi=0.9, n=20, sz=20, rep=4, reg=ave.
Submitting job, psi=0.9, n=20, sz=20, rep=4, reg=fit.
Submitting job, psi=0.9, n=20, sz=20, rep=4, reg=inv.
Submitting job, psi=0.9, n=20, sz=20, rep=4, reg=ext.
Submitting job, psi=1.0, n=20, sz=20, rep=4, reg=ave.
Submitting job, psi=1.0, n=20, sz=20, rep=4, reg=fit.
Submitting job, psi=1.0, n=20, sz=20, rep=4, reg=inv.
Submitting job, psi=1.0, n=20, sz=20, rep=4, reg=ext.
Submitting job, psi=0.0, n=50, sz=20, rep=4, reg=ave.
Submitting job, psi=0.0, n=50, sz=20, rep=4, reg=fit.
Submitting job, psi=0.0, n=50, sz=20, rep=4, reg=inv.
Submitting job, psi=0.0, n=50, sz=20, rep=4, reg=ext.
Submitting job, psi=0.5, n=50, sz=20, rep=4, reg=ave.
Submitting job, psi=0.5, n=50, sz=20, rep=4, reg=fit.
Submitting job, psi=0.5, n=50, sz=20, rep=4, reg=inv.
Submitting job, psi=0.5, n=50, sz=20, rep=4, reg=ext.
Submitting job, psi=0.9, n=50, sz=20, rep=4, reg=ave.
Submitting job, psi=0.9, n=50, sz=20, rep=4, reg=fit.
Submitting job, psi=0.9, n=50, sz=20, rep=4, reg=inv.
Submitting job, psi=0.9, n=50, sz=20, rep=4, reg=ext.
Submitting job, psi=1.0, n=50, sz=20, rep=4, reg=ave.
Submitting job, psi=1.0, n=50, sz=20, rep=4, reg=fit.
Submitting job, psi=1.0, n=50, sz=20, rep=4, reg=inv.
Submitting job, psi=1.0, n=50, sz=20, rep=4, reg=ext.
Submitting job, psi=0.0, n=2, sz=40, rep=4, reg=ave.
Submitting job, psi=0.0, n=2, sz=40, rep=4, reg=fit.
Submitting job, psi=0.0, n=2, sz=40, rep=4, reg=inv.
Submitting job, psi=0.0, n=2, sz=40, rep=4, reg=ext.
Submitting job, psi=0.5, n=2, sz=40, rep=4, reg=ave.
Submitting job, psi=0.5, n=2, sz=40, rep=4, reg=fit.
Submitting job, psi=0.5, n=2, sz=40, rep=4, reg=inv.
Submitting job, psi=0.5, n=2, sz=40, rep=4, reg=ext.
Submitting job, psi=0.9, n=2, sz=40, rep=4, reg=ave.
Submitting job, psi=0.9, n=2, sz=40, rep=4, reg=fit.
Submitting job, psi=0.9, n=2, sz=40, rep=4, reg=inv.
Submitting job, psi=0.9, n=2, sz=40, rep=4, reg=ext.
Submitting job, psi=1.0, n=2, sz=40, rep=4, reg=ave.
Submitting job, psi=1.0, n=2, sz=40, rep=4, reg=fit.
Submitting job, psi=1.0, n=2, sz=40, rep=4, reg=inv.
Submitting job, psi=1.0, n=2, sz=40, rep=4, reg=ext.
Submitting job, psi=0.0, n=8, sz=40, rep=4, reg=ave.
Submitting job, psi=0.0, n=8, sz=40, rep=4, reg=fit.
Submitting job, psi=0.0, n=8, sz=40, rep=4, reg=inv.
Submitting job, psi=0.0, n=8, sz=40, rep=4, reg=ext.
Submitting job, psi=0.5, n=8, sz=40, rep=4, reg=ave.
Submitting job, psi=0.5, n=8, sz=40, rep=4, reg=fit.
Submitting job, psi=0.5, n=8, sz=40, rep=4, reg=inv.
Submitting job, psi=0.5, n=8, sz=40, rep=4, reg=ext.
Submitting job, psi=0.9, n=8, sz=40, rep=4, reg=ave.
Submitting job, psi=0.9, n=8, sz=40, rep=4, reg=fit.
Submitting job, psi=0.9, n=8, sz=40, rep=4, reg=inv.
Submitting job, psi=0.9, n=8, sz=40, rep=4, reg=ext.
Submitting job, psi=1.0, n=8, sz=40, rep=4, reg=ave.
Submitting job, psi=1.0, n=8, sz=40, rep=4, reg=fit.
Submitting job, psi=1.0, n=8, sz=40, rep=4, reg=inv.
Submitting job, psi=1.0, n=8, sz=40, rep=4, reg=ext.
Submitting job, psi=0.0, n=20, sz=40, rep=4, reg=ave.
Submitting job, psi=0.0, n=20, sz=40, rep=4, reg=fit.
Submitting job, psi=0.0, n=20, sz=40, rep=4, reg=inv.
Submitting job, psi=0.0, n=20, sz=40, rep=4, reg=ext.
Submitting job, psi=0.5, n=20, sz=40, rep=4, reg=ave.
Submitting job, psi=0.5, n=20, sz=40, rep=4, reg=fit.
Submitting job, psi=0.5, n=20, sz=40, rep=4, reg=inv.
Submitting job, psi=0.5, n=20, sz=40, rep=4, reg=ext.
Submitting job, psi=0.9, n=20, sz=40, rep=4, reg=ave.
Submitting job, psi=0.9, n=20, sz=40, rep=4, reg=fit.
Submitting job, psi=0.9, n=20, sz=40, rep=4, reg=inv.
Submitting job, psi=0.9, n=20, sz=40, rep=4, reg=ext.
Submitting job, psi=1.0, n=20, sz=40, rep=4, reg=ave.
Submitting job, psi=1.0, n=20, sz=40, rep=4, reg=fit.
Submitting job, psi=1.0, n=20, sz=40, rep=4, reg=inv.
Submitting job, psi=1.0, n=20, sz=40, rep=4, reg=ext.
Submitting job, psi=0.0, n=50, sz=40, rep=4, reg=ave.
Submitting job, psi=0.0, n=50, sz=40, rep=4, reg=fit.
Submitting job, psi=0.0, n=50, sz=40, rep=4, reg=inv.
Submitting job, psi=0.0, n=50, sz=40, rep=4, reg=ext.
Submitting job, psi=0.5, n=50, sz=40, rep=4, reg=ave.
Submitting job, psi=0.5, n=50, sz=40, rep=4, reg=fit.
Submitting job, psi=0.5, n=50, sz=40, rep=4, reg=inv.
Submitting job, psi=0.5, n=50, sz=40, rep=4, reg=ext.
Submitting job, psi=0.9, n=50, sz=40, rep=4, reg=ave.
Submitting job, psi=0.9, n=50, sz=40, rep=4, reg=fit.
Submitting job, psi=0.9, n=50, sz=40, rep=4, reg=inv.
Submitting job, psi=0.9, n=50, sz=40, rep=4, reg=ext.
Submitting job, psi=1.0, n=50, sz=40, rep=4, reg=ave.
Submitting job, psi=1.0, n=50, sz=40, rep=4, reg=fit.
Submitting job, psi=1.0, n=50, sz=40, rep=4, reg=inv.
Submitting job, psi=1.0, n=50, sz=40, rep=4, reg=ext.
Submitting job, psi=0.0, n=2, sz=60, rep=4, reg=ave.
Submitting job, psi=0.0, n=2, sz=60, rep=4, reg=fit.
Submitting job, psi=0.0, n=2, sz=60, rep=4, reg=inv.
Submitting job, psi=0.0, n=2, sz=60, rep=4, reg=ext.
Submitting job, psi=0.5, n=2, sz=60, rep=4, reg=ave.
Submitting job, psi=0.5, n=2, sz=60, rep=4, reg=fit.
Submitting job, psi=0.5, n=2, sz=60, rep=4, reg=inv.
Submitting job, psi=0.5, n=2, sz=60, rep=4, reg=ext.
Submitting job, psi=0.9, n=2, sz=60, rep=4, reg=ave.
Submitting job, psi=0.9, n=2, sz=60, rep=4, reg=fit.
Submitting job, psi=0.9, n=2, sz=60, rep=4, reg=inv.
Submitting job, psi=0.9, n=2, sz=60, rep=4, reg=ext.
Submitting job, psi=1.0, n=2, sz=60, rep=4, reg=ave.
Submitting job, psi=1.0, n=2, sz=60, rep=4, reg=fit.
Submitting job, psi=1.0, n=2, sz=60, rep=4, reg=inv.
Submitting job, psi=1.0, n=2, sz=60, rep=4, reg=ext.
Submitting job, psi=0.0, n=8, sz=60, rep=4, reg=ave.
Submitting job, psi=0.0, n=8, sz=60, rep=4, reg=fit.
Submitting job, psi=0.0, n=8, sz=60, rep=4, reg=inv.
Submitting job, psi=0.0, n=8, sz=60, rep=4, reg=ext.
Submitting job, psi=0.5, n=8, sz=60, rep=4, reg=ave.
Submitting job, psi=0.5, n=8, sz=60, rep=4, reg=fit.
Submitting job, psi=0.5, n=8, sz=60, rep=4, reg=inv.
Submitting job, psi=0.5, n=8, sz=60, rep=4, reg=ext.
Submitting job, psi=0.9, n=8, sz=60, rep=4, reg=ave.
Submitting job, psi=0.9, n=8, sz=60, rep=4, reg=fit.
Submitting job, psi=0.9, n=8, sz=60, rep=4, reg=inv.
Submitting job, psi=0.9, n=8, sz=60, rep=4, reg=ext.
Submitting job, psi=1.0, n=8, sz=60, rep=4, reg=ave.
Submitting job, psi=1.0, n=8, sz=60, rep=4, reg=fit.
Submitting job, psi=1.0, n=8, sz=60, rep=4, reg=inv.
Submitting job, psi=1.0, n=8, sz=60, rep=4, reg=ext.
Submitting job, psi=0.0, n=20, sz=60, rep=4, reg=ave.
Submitting job, psi=0.0, n=20, sz=60, rep=4, reg=fit.
Submitting job, psi=0.0, n=20, sz=60, rep=4, reg=inv.
Submitting job, psi=0.0, n=20, sz=60, rep=4, reg=ext.
Submitting job, psi=0.5, n=20, sz=60, rep=4, reg=ave.
Submitting job, psi=0.5, n=20, sz=60, rep=4, reg=fit.
Submitting job, psi=0.5, n=20, sz=60, rep=4, reg=inv.
Submitting job, psi=0.5, n=20, sz=60, rep=4, reg=ext.
Submitting job, psi=0.9, n=20, sz=60, rep=4, reg=ave.
Submitting job, psi=0.9, n=20, sz=60, rep=4, reg=fit.
Submitting job, psi=0.9, n=20, sz=60, rep=4, reg=inv.
Submitting job, psi=0.9, n=20, sz=60, rep=4, reg=ext.
Submitting job, psi=1.0, n=20, sz=60, rep=4, reg=ave.
Submitting job, psi=1.0, n=20, sz=60, rep=4, reg=fit.
Submitting job, psi=1.0, n=20, sz=60, rep=4, reg=inv.
Submitting job, psi=1.0, n=20, sz=60, rep=4, reg=ext.
Submitting job, psi=0.0, n=50, sz=60, rep=4, reg=ave.
Submitting job, psi=0.0, n=50, sz=60, rep=4, reg=fit.
Submitting job, psi=0.0, n=50, sz=60, rep=4, reg=inv.
Submitting job, psi=0.0, n=50, sz=60, rep=4, reg=ext.
Submitting job, psi=0.5, n=50, sz=60, rep=4, reg=ave.
Submitting job, psi=0.5, n=50, sz=60, rep=4, reg=fit.
Submitting job, psi=0.5, n=50, sz=60, rep=4, reg=inv.
Submitting job, psi=0.5, n=50, sz=60, rep=4, reg=ext.
Submitting job, psi=0.9, n=50, sz=60, rep=4, reg=ave.
Submitting job, psi=0.9, n=50, sz=60, rep=4, reg=fit.
Submitting job, psi=0.9, n=50, sz=60, rep=4, reg=inv.
Submitting job, psi=0.9, n=50, sz=60, rep=4, reg=ext.
Submitting job, psi=1.0, n=50, sz=60, rep=4, reg=ave.
Submitting job, psi=1.0, n=50, sz=60, rep=4, reg=fit.
Submitting job, psi=1.0, n=50, sz=60, rep=4, reg=inv.
Submitting job, psi=1.0, n=50, sz=60, rep=4, reg=ext.
Submitting job, psi=0.0, n=2, sz=20, rep=5, reg=ave.
Submitting job, psi=0.0, n=2, sz=20, rep=5, reg=fit.
Submitting job, psi=0.0, n=2, sz=20, rep=5, reg=inv.
Submitting job, psi=0.0, n=2, sz=20, rep=5, reg=ext.
Submitting job, psi=0.5, n=2, sz=20, rep=5, reg=ave.
Submitting job, psi=0.5, n=2, sz=20, rep=5, reg=fit.
Submitting job, psi=0.5, n=2, sz=20, rep=5, reg=inv.
Submitting job, psi=0.5, n=2, sz=20, rep=5, reg=ext.
Submitting job, psi=0.9, n=2, sz=20, rep=5, reg=ave.
Submitting job, psi=0.9, n=2, sz=20, rep=5, reg=fit.
Submitting job, psi=0.9, n=2, sz=20, rep=5, reg=inv.
Submitting job, psi=0.9, n=2, sz=20, rep=5, reg=ext.
Submitting job, psi=1.0, n=2, sz=20, rep=5, reg=ave.
Submitting job, psi=1.0, n=2, sz=20, rep=5, reg=fit.
Submitting job, psi=1.0, n=2, sz=20, rep=5, reg=inv.
Submitting job, psi=1.0, n=2, sz=20, rep=5, reg=ext.
Submitting job, psi=0.0, n=8, sz=20, rep=5, reg=ave.
Submitting job, psi=0.0, n=8, sz=20, rep=5, reg=fit.
Submitting job, psi=0.0, n=8, sz=20, rep=5, reg=inv.
Submitting job, psi=0.0, n=8, sz=20, rep=5, reg=ext.
Submitting job, psi=0.5, n=8, sz=20, rep=5, reg=ave.
Submitting job, psi=0.5, n=8, sz=20, rep=5, reg=fit.
Submitting job, psi=0.5, n=8, sz=20, rep=5, reg=inv.
Submitting job, psi=0.5, n=8, sz=20, rep=5, reg=ext.
Submitting job, psi=0.9, n=8, sz=20, rep=5, reg=ave.
Submitting job, psi=0.9, n=8, sz=20, rep=5, reg=fit.
Submitting job, psi=0.9, n=8, sz=20, rep=5, reg=inv.
Submitting job, psi=0.9, n=8, sz=20, rep=5, reg=ext.
Submitting job, psi=1.0, n=8, sz=20, rep=5, reg=ave.
Submitting job, psi=1.0, n=8, sz=20, rep=5, reg=fit.
Submitting job, psi=1.0, n=8, sz=20, rep=5, reg=inv.
Submitting job, psi=1.0, n=8, sz=20, rep=5, reg=ext.
Submitting job, psi=0.0, n=20, sz=20, rep=5, reg=ave.
Submitting job, psi=0.0, n=20, sz=20, rep=5, reg=fit.
Submitting job, psi=0.0, n=20, sz=20, rep=5, reg=inv.
Submitting job, psi=0.0, n=20, sz=20, rep=5, reg=ext.
Submitting job, psi=0.5, n=20, sz=20, rep=5, reg=ave.
Submitting job, psi=0.5, n=20, sz=20, rep=5, reg=fit.
Submitting job, psi=0.5, n=20, sz=20, rep=5, reg=inv.
Submitting job, psi=0.5, n=20, sz=20, rep=5, reg=ext.
Submitting job, psi=0.9, n=20, sz=20, rep=5, reg=ave.
Submitting job, psi=0.9, n=20, sz=20, rep=5, reg=fit.
Submitting job, psi=0.9, n=20, sz=20, rep=5, reg=inv.
Submitting job, psi=0.9, n=20, sz=20, rep=5, reg=ext.
Submitting job, psi=1.0, n=20, sz=20, rep=5, reg=ave.
