Wrote: ave.slim
Wrote: fit.slim
Wrote: ext.slim
Wrote: inv.slim
Submitting job, psi=0.2, n=2, sz=40, rep=1, reg=ave.
Submitting job, psi=0.8, n=50, sz=120, rep=1, reg=fit.
Submitting job, psi=0.8, n=50, sz=120, rep=1, reg=inv.
Submitting job, psi=0.8, n=50, sz=120, rep=1, reg=ext.
Submitting job, psi=0.2, n=2, sz=300, rep=1, reg=ave.
Submitting job, psi=0.2, n=2, sz=300, rep=1, reg=fit.
Submitting job, psi=0.2, n=2, sz=300, rep=1, reg=inv.
Submitting job, psi=0.2, n=2, sz=300, rep=1, reg=ext.
Submitting job, psi=0.5, n=2, sz=300, rep=1, reg=ave.
Submitting job, psi=0.5, n=2, sz=300, rep=1, reg=fit.
Submitting job, psi=0.5, n=2, sz=300, rep=1, reg=inv.
Submitting job, psi=0.5, n=2, sz=300, rep=1, reg=ext.
Submitting job, psi=0.8, n=2, sz=300, rep=1, reg=ave.
Submitting job, psi=0.8, n=2, sz=300, rep=1, reg=fit.
Submitting job, psi=0.8, n=2, sz=300, rep=1, reg=inv.
Submitting job, psi=0.8, n=2, sz=300, rep=1, reg=ext.
Submitting job, psi=0.2, n=8, sz=300, rep=1, reg=ave.
Submitting job, psi=0.2, n=8, sz=300, rep=1, reg=fit.
Submitting job, psi=0.2, n=8, sz=300, rep=1, reg=inv.
Submitting job, psi=0.2, n=8, sz=300, rep=1, reg=ext.
Submitting job, psi=0.5, n=8, sz=300, rep=1, reg=ave.
Submitting job, psi=0.5, n=8, sz=300, rep=1, reg=fit.
Submitting job, psi=0.5, n=8, sz=300, rep=1, reg=inv.
Submitting job, psi=0.5, n=8, sz=300, rep=1, reg=ext.
Submitting job, psi=0.8, n=8, sz=300, rep=1, reg=ave.
Submitting job, psi=0.8, n=8, sz=300, rep=1, reg=fit.
Submitting job, psi=0.8, n=8, sz=300, rep=1, reg=inv.
Submitting job, psi=0.8, n=8, sz=300, rep=1, reg=ext.
Submitting job, psi=0.2, n=20, sz=300, rep=1, reg=ave.
Submitting job, psi=0.2, n=20, sz=300, rep=1, reg=fit.
Submitting job, psi=0.2, n=20, sz=300, rep=1, reg=inv.
Submitting job, psi=0.2, n=20, sz=300, rep=1, reg=ext.
Submitting job, psi=0.5, n=20, sz=300, rep=1, reg=ave.
Submitting job, psi=0.5, n=20, sz=300, rep=1, reg=fit.
Submitting job, psi=0.5, n=20, sz=300, rep=1, reg=inv.
Submitting job, psi=0.5, n=20, sz=300, rep=1, reg=ext.
Submitting job, psi=0.8, n=20, sz=300, rep=1, reg=ave.
Submitting job, psi=0.8, n=20, sz=300, rep=1, reg=fit.
Submitting job, psi=0.8, n=20, sz=300, rep=1, reg=inv.
Submitting job, psi=0.8, n=20, sz=300, rep=1, reg=ext.
Submitting job, psi=0.2, n=50, sz=300, rep=1, reg=ave.
Submitting job, psi=0.2, n=50, sz=300, rep=1, reg=fit.
Submitting job, psi=0.2, n=50, sz=300, rep=1, reg=inv.
Submitting job, psi=0.2, n=50, sz=300, rep=1, reg=ext.
Submitting job, psi=0.5, n=50, sz=300, rep=1, reg=ave.
Submitting job, psi=0.5, n=50, sz=300, rep=1, reg=fit.
Submitting job, psi=0.5, n=50, sz=300, rep=1, reg=inv.
Submitting job, psi=0.5, n=50, sz=300, rep=1, reg=ext.
Submitting job, psi=0.8, n=50, sz=300, rep=1, reg=ave.
Submitting job, psi=0.8, n=50, sz=300, rep=1, reg=fit.
Submitting job, psi=0.8, n=50, sz=300, rep=1, reg=inv.
Submitting job, psi=0.8, n=50, sz=300, rep=1, reg=ext.
Submitting job, psi=0.2, n=2, sz=40, rep=2, reg=ave.
Submitting job, psi=0.2, n=2, sz=40, rep=2, reg=fit.
Submitting job, psi=0.2, n=2, sz=40, rep=2, reg=inv.
Submitting job, psi=0.2, n=2, sz=40, rep=2, reg=ext.
Submitting job, psi=0.5, n=2, sz=40, rep=2, reg=ave.
Submitting job, psi=0.5, n=2, sz=40, rep=2, reg=fit.
Submitting job, psi=0.5, n=2, sz=40, rep=2, reg=inv.
Submitting job, psi=0.5, n=2, sz=40, rep=2, reg=ext.
Submitting job, psi=0.8, n=2, sz=40, rep=2, reg=ave.
Submitting job, psi=0.8, n=2, sz=40, rep=2, reg=fit.
Submitting job, psi=0.8, n=2, sz=40, rep=2, reg=inv.
Submitting job, psi=0.8, n=2, sz=40, rep=2, reg=ext.
Submitting job, psi=0.2, n=8, sz=40, rep=2, reg=ave.
Submitting job, psi=0.2, n=8, sz=40, rep=2, reg=fit.
Submitting job, psi=0.2, n=8, sz=40, rep=2, reg=inv.
Submitting job, psi=0.2, n=8, sz=40, rep=2, reg=ext.
Submitting job, psi=0.5, n=8, sz=40, rep=2, reg=ave.
Submitting job, psi=0.5, n=8, sz=40, rep=2, reg=fit.
Submitting job, psi=0.5, n=8, sz=40, rep=2, reg=inv.
Submitting job, psi=0.5, n=8, sz=40, rep=2, reg=ext.
Submitting job, psi=0.8, n=8, sz=40, rep=2, reg=ave.
Submitting job, psi=0.8, n=8, sz=40, rep=2, reg=fit.
Submitting job, psi=0.8, n=8, sz=40, rep=2, reg=inv.
Submitting job, psi=0.8, n=8, sz=40, rep=2, reg=ext.
Submitting job, psi=0.2, n=20, sz=40, rep=2, reg=ave.
Submitting job, psi=0.2, n=20, sz=40, rep=2, reg=fit.
Submitting job, psi=0.2, n=20, sz=40, rep=2, reg=inv.
Submitting job, psi=0.2, n=20, sz=40, rep=2, reg=ext.
Submitting job, psi=0.5, n=20, sz=40, rep=2, reg=ave.
Submitting job, psi=0.5, n=20, sz=40, rep=2, reg=fit.
Submitting job, psi=0.5, n=20, sz=40, rep=2, reg=inv.
Submitting job, psi=0.5, n=20, sz=40, rep=2, reg=ext.
Submitting job, psi=0.8, n=20, sz=40, rep=2, reg=ave.
Submitting job, psi=0.8, n=20, sz=40, rep=2, reg=fit.
Submitting job, psi=0.8, n=20, sz=40, rep=2, reg=inv.
Submitting job, psi=0.8, n=20, sz=40, rep=2, reg=ext.
Submitting job, psi=0.2, n=50, sz=40, rep=2, reg=ave.
Submitting job, psi=0.2, n=50, sz=40, rep=2, reg=fit.
Submitting job, psi=0.2, n=50, sz=40, rep=2, reg=inv.
Submitting job, psi=0.2, n=50, sz=40, rep=2, reg=ext.
Submitting job, psi=0.5, n=50, sz=40, rep=2, reg=ave.
Submitting job, psi=0.5, n=50, sz=40, rep=2, reg=fit.
Submitting job, psi=0.5, n=50, sz=40, rep=2, reg=inv.
Submitting job, psi=0.5, n=50, sz=40, rep=2, reg=ext.
Submitting job, psi=0.8, n=50, sz=40, rep=2, reg=ave.
Submitting job, psi=0.8, n=50, sz=40, rep=2, reg=fit.
Submitting job, psi=0.8, n=50, sz=40, rep=2, reg=inv.
Submitting job, psi=0.8, n=50, sz=40, rep=2, reg=ext.
Submitting job, psi=0.2, n=2, sz=80, rep=2, reg=ave.
Submitting job, psi=0.2, n=2, sz=80, rep=2, reg=fit.
Submitting job, psi=0.2, n=2, sz=80, rep=2, reg=inv.
Submitting job, psi=0.2, n=2, sz=80, rep=2, reg=ext.
Submitting job, psi=0.5, n=2, sz=80, rep=2, reg=ave.
Submitting job, psi=0.5, n=2, sz=80, rep=2, reg=fit.
Submitting job, psi=0.5, n=2, sz=80, rep=2, reg=inv.
Submitting job, psi=0.5, n=2, sz=80, rep=2, reg=ext.
Submitting job, psi=0.8, n=2, sz=80, rep=2, reg=ave.
Submitting job, psi=0.8, n=2, sz=80, rep=2, reg=fit.
Submitting job, psi=0.8, n=2, sz=80, rep=2, reg=inv.
Submitting job, psi=0.8, n=2, sz=80, rep=2, reg=ext.
Submitting job, psi=0.2, n=8, sz=80, rep=2, reg=ave.
Submitting job, psi=0.2, n=8, sz=80, rep=2, reg=fit.
Submitting job, psi=0.2, n=8, sz=80, rep=2, reg=inv.
Submitting job, psi=0.2, n=8, sz=80, rep=2, reg=ext.
Submitting job, psi=0.5, n=8, sz=80, rep=2, reg=ave.
Submitting job, psi=0.5, n=8, sz=80, rep=2, reg=fit.
Submitting job, psi=0.5, n=8, sz=80, rep=2, reg=inv.
Submitting job, psi=0.5, n=8, sz=80, rep=2, reg=ext.
Submitting job, psi=0.8, n=8, sz=80, rep=2, reg=ave.
Submitting job, psi=0.8, n=8, sz=80, rep=2, reg=fit.
Submitting job, psi=0.8, n=8, sz=80, rep=2, reg=inv.
Submitting job, psi=0.8, n=8, sz=80, rep=2, reg=ext.
Submitting job, psi=0.2, n=20, sz=80, rep=2, reg=ave.
Submitting job, psi=0.2, n=20, sz=80, rep=2, reg=fit.
Submitting job, psi=0.2, n=20, sz=80, rep=2, reg=inv.
Submitting job, psi=0.2, n=20, sz=80, rep=2, reg=ext.
Submitting job, psi=0.5, n=20, sz=80, rep=2, reg=ave.
Submitting job, psi=0.5, n=20, sz=80, rep=2, reg=fit.
Submitting job, psi=0.5, n=20, sz=80, rep=2, reg=inv.
Submitting job, psi=0.5, n=20, sz=80, rep=2, reg=ext.
Submitting job, psi=0.8, n=20, sz=80, rep=2, reg=ave.
Submitting job, psi=0.8, n=20, sz=80, rep=2, reg=fit.
Submitting job, psi=0.8, n=20, sz=80, rep=2, reg=inv.
Submitting job, psi=0.8, n=20, sz=80, rep=2, reg=ext.
Submitting job, psi=0.2, n=50, sz=80, rep=2, reg=ave.
Submitting job, psi=0.2, n=50, sz=80, rep=2, reg=fit.
Submitting job, psi=0.2, n=50, sz=80, rep=2, reg=inv.
Submitting job, psi=0.2, n=50, sz=80, rep=2, reg=ext.
Submitting job, psi=0.5, n=50, sz=80, rep=2, reg=ave.
Submitting job, psi=0.5, n=50, sz=80, rep=2, reg=fit.
Submitting job, psi=0.5, n=50, sz=80, rep=2, reg=inv.
Submitting job, psi=0.5, n=50, sz=80, rep=2, reg=ext.
Submitting job, psi=0.8, n=50, sz=80, rep=2, reg=ave.
Submitting job, psi=0.8, n=50, sz=80, rep=2, reg=fit.
Submitting job, psi=0.8, n=50, sz=80, rep=2, reg=inv.
Submitting job, psi=0.8, n=50, sz=80, rep=2, reg=ext.
Submitting job, psi=0.2, n=2, sz=120, rep=2, reg=ave.
Submitting job, psi=0.2, n=2, sz=120, rep=2, reg=fit.
Submitting job, psi=0.2, n=2, sz=120, rep=2, reg=inv.
Submitting job, psi=0.2, n=2, sz=120, rep=2, reg=ext.
Submitting job, psi=0.5, n=2, sz=120, rep=2, reg=ave.
Submitting job, psi=0.5, n=2, sz=120, rep=2, reg=fit.
Submitting job, psi=0.5, n=2, sz=120, rep=2, reg=inv.
Submitting job, psi=0.5, n=2, sz=120, rep=2, reg=ext.
Submitting job, psi=0.8, n=2, sz=120, rep=2, reg=ave.
Submitting job, psi=0.8, n=2, sz=120, rep=2, reg=fit.
Submitting job, psi=0.8, n=2, sz=120, rep=2, reg=inv.
Submitting job, psi=0.8, n=2, sz=120, rep=2, reg=ext.
Submitting job, psi=0.2, n=8, sz=120, rep=2, reg=ave.
Submitting job, psi=0.2, n=8, sz=120, rep=2, reg=fit.
Submitting job, psi=0.2, n=8, sz=120, rep=2, reg=inv.
Submitting job, psi=0.2, n=8, sz=120, rep=2, reg=ext.
Submitting job, psi=0.5, n=8, sz=120, rep=2, reg=ave.
Submitting job, psi=0.5, n=8, sz=120, rep=2, reg=fit.
Submitting job, psi=0.5, n=8, sz=120, rep=2, reg=inv.
Submitting job, psi=0.5, n=8, sz=120, rep=2, reg=ext.
Submitting job, psi=0.8, n=8, sz=120, rep=2, reg=ave.
Submitting job, psi=0.8, n=8, sz=120, rep=2, reg=fit.
Submitting job, psi=0.8, n=8, sz=120, rep=2, reg=inv.
Submitting job, psi=0.8, n=8, sz=120, rep=2, reg=ext.
Submitting job, psi=0.2, n=20, sz=120, rep=2, reg=ave.
Submitting job, psi=0.2, n=20, sz=120, rep=2, reg=fit.
Submitting job, psi=0.2, n=20, sz=120, rep=2, reg=inv.
Submitting job, psi=0.2, n=20, sz=120, rep=2, reg=ext.
Submitting job, psi=0.5, n=20, sz=120, rep=2, reg=ave.
Submitting job, psi=0.5, n=20, sz=120, rep=2, reg=fit.
Submitting job, psi=0.5, n=20, sz=120, rep=2, reg=inv.
Submitting job, psi=0.5, n=20, sz=120, rep=2, reg=ext.
Submitting job, psi=0.8, n=20, sz=120, rep=2, reg=ave.
Submitting job, psi=0.8, n=20, sz=120, rep=2, reg=fit.
Submitting job, psi=0.8, n=20, sz=120, rep=2, reg=inv.
Submitting job, psi=0.8, n=20, sz=120, rep=2, reg=ext.
Submitting job, psi=0.2, n=50, sz=120, rep=2, reg=ave.
Submitting job, psi=0.2, n=50, sz=120, rep=2, reg=fit.
Submitting job, psi=0.2, n=50, sz=120, rep=2, reg=inv.
Submitting job, psi=0.2, n=50, sz=120, rep=2, reg=ext.
Submitting job, psi=0.5, n=50, sz=120, rep=2, reg=ave.
Submitting job, psi=0.5, n=50, sz=120, rep=2, reg=fit.
Submitting job, psi=0.5, n=50, sz=120, rep=2, reg=inv.
Submitting job, psi=0.5, n=50, sz=120, rep=2, reg=ext.
Submitting job, psi=0.8, n=50, sz=120, rep=2, reg=ave.
Submitting job, psi=0.8, n=50, sz=120, rep=2, reg=fit.
Submitting job, psi=0.8, n=50, sz=120, rep=2, reg=inv.
Submitting job, psi=0.8, n=50, sz=120, rep=2, reg=ext.
Submitting job, psi=0.2, n=2, sz=300, rep=2, reg=ave.
Submitting job, psi=0.2, n=2, sz=300, rep=2, reg=fit.
Submitting job, psi=0.2, n=2, sz=300, rep=2, reg=inv.
Submitting job, psi=0.2, n=2, sz=300, rep=2, reg=ext.
Submitting job, psi=0.5, n=2, sz=300, rep=2, reg=ave.
Submitting job, psi=0.5, n=2, sz=300, rep=2, reg=fit.
Submitting job, psi=0.5, n=2, sz=300, rep=2, reg=inv.
Submitting job, psi=0.5, n=2, sz=300, rep=2, reg=ext.
Submitting job, psi=0.8, n=2, sz=300, rep=2, reg=ave.
Submitting job, psi=0.8, n=2, sz=300, rep=2, reg=fit.
Submitting job, psi=0.8, n=2, sz=300, rep=2, reg=inv.
Submitting job, psi=0.8, n=2, sz=300, rep=2, reg=ext.
Submitting job, psi=0.2, n=8, sz=300, rep=2, reg=ave.
Submitting job, psi=0.2, n=8, sz=300, rep=2, reg=fit.
Submitting job, psi=0.2, n=8, sz=300, rep=2, reg=inv.
Submitting job, psi=0.2, n=8, sz=300, rep=2, reg=ext.
Submitting job, psi=0.5, n=8, sz=300, rep=2, reg=ave.
Submitting job, psi=0.5, n=8, sz=300, rep=2, reg=fit.
Submitting job, psi=0.5, n=8, sz=300, rep=2, reg=inv.
Submitting job, psi=0.5, n=8, sz=300, rep=2, reg=ext.
Submitting job, psi=0.8, n=8, sz=300, rep=2, reg=ave.
Submitting job, psi=0.8, n=8, sz=300, rep=2, reg=fit.
Submitting job, psi=0.8, n=8, sz=300, rep=2, reg=inv.
Submitting job, psi=0.8, n=8, sz=300, rep=2, reg=ext.
Submitting job, psi=0.2, n=20, sz=300, rep=2, reg=ave.
Submitting job, psi=0.2, n=20, sz=300, rep=2, reg=fit.
Submitting job, psi=0.2, n=20, sz=300, rep=2, reg=inv.
Submitting job, psi=0.2, n=20, sz=300, rep=2, reg=ext.
Submitting job, psi=0.5, n=20, sz=300, rep=2, reg=ave.
Submitting job, psi=0.5, n=20, sz=300, rep=2, reg=fit.
Submitting job, psi=0.5, n=20, sz=300, rep=2, reg=inv.
Submitting job, psi=0.5, n=20, sz=300, rep=2, reg=ext.
Submitting job, psi=0.8, n=20, sz=300, rep=2, reg=ave.
Submitting job, psi=0.8, n=20, sz=300, rep=2, reg=fit.
Submitting job, psi=0.8, n=20, sz=300, rep=2, reg=inv.
Submitting job, psi=0.8, n=20, sz=300, rep=2, reg=ext.
Submitting job, psi=0.2, n=50, sz=300, rep=2, reg=ave.
Submitting job, psi=0.2, n=50, sz=300, rep=2, reg=fit.
Submitting job, psi=0.2, n=50, sz=300, rep=2, reg=inv.
Submitting job, psi=0.2, n=50, sz=300, rep=2, reg=ext.
Submitting job, psi=0.5, n=50, sz=300, rep=2, reg=ave.
Submitting job, psi=0.5, n=50, sz=300, rep=2, reg=fit.
Submitting job, psi=0.5, n=50, sz=300, rep=2, reg=inv.
Submitting job, psi=0.5, n=50, sz=300, rep=2, reg=ext.
Submitting job, psi=0.8, n=50, sz=300, rep=2, reg=ave.
Submitting job, psi=0.8, n=50, sz=300, rep=2, reg=fit.
Submitting job, psi=0.8, n=50, sz=300, rep=2, reg=inv.
Submitting job, psi=0.8, n=50, sz=300, rep=2, reg=ext.
Submitting job, psi=0.2, n=2, sz=40, rep=3, reg=ave.
Submitting job, psi=0.2, n=2, sz=40, rep=3, reg=fit.
Submitting job, psi=0.2, n=2, sz=40, rep=3, reg=inv.
Submitting job, psi=0.2, n=2, sz=40, rep=3, reg=ext.
Submitting job, psi=0.5, n=2, sz=40, rep=3, reg=ave.
Submitting job, psi=0.5, n=2, sz=40, rep=3, reg=fit.
Submitting job, psi=0.5, n=2, sz=40, rep=3, reg=inv.
Submitting job, psi=0.5, n=2, sz=40, rep=3, reg=ext.
Submitting job, psi=0.8, n=2, sz=40, rep=3, reg=ave.
Submitting job, psi=0.8, n=2, sz=40, rep=3, reg=fit.
Submitting job, psi=0.8, n=2, sz=40, rep=3, reg=inv.
Submitting job, psi=0.8, n=2, sz=40, rep=3, reg=ext.
Submitting job, psi=0.2, n=8, sz=40, rep=3, reg=ave.
Submitting job, psi=0.2, n=8, sz=40, rep=3, reg=fit.
Submitting job, psi=0.2, n=8, sz=40, rep=3, reg=inv.
Submitting job, psi=0.2, n=8, sz=40, rep=3, reg=ext.
Submitting job, psi=0.5, n=8, sz=40, rep=3, reg=ave.
Submitting job, psi=0.5, n=8, sz=40, rep=3, reg=fit.
Submitting job, psi=0.5, n=8, sz=40, rep=3, reg=inv.
Submitting job, psi=0.5, n=8, sz=40, rep=3, reg=ext.
Submitting job, psi=0.8, n=8, sz=40, rep=3, reg=ave.
Submitting job, psi=0.8, n=8, sz=40, rep=3, reg=fit.
Submitting job, psi=0.8, n=8, sz=40, rep=3, reg=inv.
Submitting job, psi=0.8, n=8, sz=40, rep=3, reg=ext.
